year,country,gdp_per_capita
1985,KR,5950.80042847995
1986,KR,6559.29071439433
1987,KR,7321.39277022591
1988,KR,8119.16798137142
1989,KR,8607.86582512298
1990,KR,9365.39498597615
1991,KR,10272.6206979978
1992,KR,10796.6046542439
1993,KR,11422.5146522022
1994,KR,12356.2782851767
1995,KR,13408.6814173347
1996,KR,14329.5393059263
1997,KR,15071.7563891218
1998,KR,14195.8130931157
1999,KR,15711.5640210645
2000,KR,16992.4790763689
2001,KR,17680.845491777
2002,KR,18936.9516520974
2003,KR,19431.9711103534
2004,KR,20361.0692543545
2005,KR,21193.3575135298
2006,KR,22192.1851207944
2007,KR,23360.9057353821
2008,KR,23882.7304951493
2009,KR,23948.4722438582
2010,KR,25451.0041554666
2011,KR,26186.8975422978
2012,KR,26675.4401708559
2013,KR,27394.6503074507
2014,KR,28094.9177029868
2015,KR,28732.2310762599
2016,KR,29461.7840071118
2017,KR,30307.395236491
2018,KR,31040.6554458576
2019,KR,31610.9190042071
2020,KR,31264.940647008
1985,MX,7538.47354475073
1986,MX,7154.2482105108
1987,MX,7130.36654955627
1988,MX,7079.85565755642
1989,MX,7229.12021069935
1990,MX,7460.69661192405
1991,MX,7632.44279095691
1992,MX,7760.90556403676
1993,MX,7773.16183125799
1994,MX,8018.72100901051
1995,MX,7390.71471635729
1996,MX,7765.6049833663
1997,MX,8168.91618207968
1998,MX,8461.49270188363
1999,MX,8567.07842500423
2000,MX,8861.86956567291
2001,MX,8702.9848728584
2002,MX,8580.88729814666
2003,MX,8587.08855266964
2004,MX,8801.32190186818
2005,MX,8877.85129102564
2006,MX,9142.80477389632
2007,MX,9214.35353384224
2008,MX,9181.39996717864
2009,MX,8568.61814933121
2010,MX,8878.56137655041
2011,MX,9076.30145285741
2012,MX,9280.25863791442
2013,MX,9282.99193347296
2014,MX,9426.32458789743
2015,MX,9616.64555810607
2016,MX,9751.56908337178
2017,MX,9842.40071150603
2018,MX,9945.77658502165
2019,MX,9832.45747500622
2020,MX,8927.34043645593
1985,EG,1838.5757076177
1986,EG,1874.67183611187
1987,EG,1894.50785202506
1988,EG,1945.30856387185
1989,EG,1989.27414994555
1990,EG,2051.61225829623
1991,EG,2028.09189865402
1992,EG,2073.94023698687
1993,EG,2090.84043017316
1994,EG,2130.67568024243
1995,EG,2185.30217501739
1996,EG,2248.59423987044
1997,EG,2324.91660962473
1998,EG,2406.04523400723
1999,EG,2501.98186736287
2000,EG,2610.47649772765
2001,EG,2651.8655155154
2002,EG,2664.64201106551
2003,EG,2699.10106547749
2004,EG,2758.56642776924
2005,EG,2830.35013837068
2006,EG,2970.94475447749
2007,EG,3126.27499811106
2008,EG,3290.94074048999
2009,EG,3381.11537652316
2010,EG,3485.2821981757
2011,EG,3472.5982931206
2012,EG,3472.14829808288
2013,EG,3468.46882827143
2014,EG,3489.86412370983
2015,EG,3562.93265798423
2016,EG,3638.89492746167
2017,EG,3712.60365352095
2018,EG,3831.19983495957
2019,EG,3964.98712904952
2020,EG,4028.4209198079
1985,JP,22920.2469775594
1986,JP,23556.9532881665
1987,JP,24552.7155206582
1988,JP,26109.7504779261
1989,JP,27268.9431694537
1990,JP,28508.3912679574
1991,JP,29367.0780347898
1992,JP,29506.4022447088
1993,JP,29258.5819908349
1994,JP,29466.7552451756
1995,JP,30171.1637924347
1996,JP,31046.1701544648
1997,JP,31276.1930771932
1998,JP,30795.0888900928
1999,JP,30636.266116943
2000,JP,31430.6311303282
2001,JP,31476.052066579
2002,JP,31416.1241772435
2003,JP,31830.2175849262
2004,JP,32515.1158024317
2005,JP,33098.5474664872
2006,JP,33531.5185630775
2007,JP,33990.0360341685
2008,JP,33557.6454041531
2009,JP,31651.0837739853
2010,JP,32942.2020783725
2011,JP,33011.13423011
2012,JP,33518.444936892
2013,JP,34239.8862473683
2014,JP,34386.905855287
2015,JP,34960.6393843385
2016,JP,35264.8133591817
2017,JP,35914.6412692599
2018,JP,36188.6200284301
2019,JP,36362.3573229906
2020,JP,34366.4783681385
1985,NO,46717.2206938984
1986,NO,48432.5867721219
1987,NO,49051.6798378169
1988,NO,48663.9479306137
1989,NO,48966.6649429335
1990,NO,49741.425757739
1991,NO,51032.0602863941
1992,NO,52551.951441768
1993,NO,53726.4755306975
1994,NO,56122.114300243
1995,NO,58151.5991798536
1996,NO,60766.6339730874
1997,NO,63631.9410885765
1998,NO,64914.2553096158
1999,NO,65768.9857253314
2000,NO,67437.743355228
2001,NO,68489.4679076266
2002,NO,69106.3089683386
2003,NO,69327.4265414388
2004,NO,71654.636532036
2005,NO,73036.740359019
2006,NO,74189.5667781725
2007,NO,75624.4148719328
2008,NO,75043.5294578274
2009,NO,72823.3024397882
2010,NO,72426.5652172527
2011,NO,72194.7810014983
2012,NO,73178.784945419
2013,NO,73046.9050292415
2014,NO,73650.3135435049
2015,NO,74355.5158575643
2016,NO,74493.1179371245
2017,NO,75610.6259838977
2018,NO,75953.5586067261
2019,NO,76085.2455169547
2020,NO,75059.3180787013
1985,CA,0.0
1986,CA,0.0
1987,CA,0.0
1988,CA,0.0
1989,CA,0.0
1990,CA,0.0
1991,CA,0.0
1992,CA,0.0
1993,CA,0.0
1994,CA,0.0
1995,CA,0.0
1996,CA,0.0
1997,CA,31222.724816522
1998,CA,31830.6171059926
1999,CA,32826.5308068591
2000,CA,34121.6091941822
2001,CA,34227.341749713
2002,CA,35015.7949689871
2003,CA,36024.0992359873
2004,CA,37086.4492996776
2005,CA,38573.1997654019
2006,CA,39776.1794731157
2007,CA,42097.4351198181
2008,CA,42063.6330521731
2009,CA,40368.2920365479
2010,CA,41155.3236376889
2011,CA,42036.9978438542
2012,CA,42315.8073891558
2013,CA,42846.2841957958
2014,CA,43635.0954811371
2015,CA,43596.1355365546
2016,CA,43536.9134032467
2017,CA,44325.4167761306
2018,CA,44765.5025108984
2019,CA,44958.0886869579
2020,CA,42108.1745281822
1985,SI,0.0
1986,SI,0.0
1987,SI,0.0
1988,SI,0.0
1989,SI,0.0
1990,SI,0.0
1991,SI,0.0
1992,SI,0.0
1993,SI,0.0
1994,SI,0.0
1995,SI,13270.735054311
1996,SI,13704.3649697703
1997,SI,14415.7767085924
1998,SI,14921.0326473116
1999,SI,15705.4989891915
2000,SI,16234.1268564379
2001,SI,16729.9371401015
2002,SI,17294.9770603481
2003,SI,17796.2196147081
2004,SI,18560.0965761861
2005,SI,19231.6641461474
2006,SI,20271.997678237
2007,SI,21566.0786773609
2008,SI,22287.7399564993
2009,SI,20419.9561182289
2010,SI,20604.301637932
2011,SI,20738.6464737141
2012,SI,20148.9005428087
2013,SI,19914.4638788094
2014,SI,20445.6093276558
2015,SI,20881.7669299329
2016,SI,21532.5151639167
2017,SI,22554.686522664
2018,SI,23466.9305272061
2019,SI,24061.6038792705
2020,SI,22915.1457154893
1985,DK,36783.9410443123
1986,DK,38536.322876642
1987,DK,38585.402852645
1988,DK,38561.4119234317
1989,DK,38786.930952318
1990,DK,39295.2434424919
1991,DK,39739.6098511225
1992,DK,40383.5587756081
1993,DK,40253.5398981286
1994,DK,42257.0983305221
1995,DK,43310.2500901054
1996,DK,44314.7904987137
1997,DK,45570.0798221242
1998,DK,46412.038971456
1999,DK,47622.4390779319
2000,DK,49241.9280041345
2001,DK,49469.6888088275
2002,DK,49541.8555503286
2003,DK,49599.9969640753
2004,DK,50792.00095345
2005,DK,51835.8327062445
2006,DK,53687.4415474978
2007,DK,53935.8702479631
2008,DK,53345.3576182976
2009,DK,50457.2324892863
2010,DK,51173.4661587111
2011,DK,51644.4635097775
2012,DK,51567.0401502519
2013,DK,51831.7979309232
2014,DK,52404.7639713382
2015,DK,53254.8563700916
2016,DK,54556.0689545694
2017,DK,55735.7649011485
2018,DK,56563.4884729669
2019,DK,57553.1312399488
2020,DK,56202.1658527477
1985,TH,1695.40124016209
1986,TH,1757.03062014774
1987,TH,1889.83193179655
1988,TH,2104.07148393345
1989,TH,2323.29479535126
1990,TH,2546.84684797981
1991,TH,2732.23944322509
1992,TH,2923.54332196648
1993,TH,3136.21587333277
1994,TH,3356.09802262277
1995,TH,3592.50079705725
1996,TH,3753.70213675854
1997,TH,3607.36259451798
1998,TH,3292.01894721037
1999,TH,3403.11495528226
2000,TH,3517.79891401225
2001,TH,3605.36823470443
2002,TH,3795.41072877418
2003,TH,4037.9711348991
2004,TH,4262.51880741681
2005,TH,4412.44429474605
2006,TH,4603.75244734741
2007,TH,4826.87147665486
2008,TH,4884.41778467764
2009,TH,4826.32142717259
2010,TH,5163.59766399834
2011,TH,5182.04236923127
2012,TH,5531.34901941224
2013,TH,5654.28542044534
2014,TH,5685.4021214653
2015,TH,5840.05306687798
2016,TH,6018.177484354
2017,TH,6247.9920783153
2018,TH,6489.25718582616
2019,TH,6617.54282167643
2020,TH,6199.19078245355
1985,FI,26846.7947596539
1986,FI,27497.139519752
1987,FI,28399.4516774266
1988,FI,29794.358819925
1989,FI,31197.2093208591
1990,FI,31267.3749497766
1991,FI,29266.5914357588
1992,FI,28143.7689820062
1993,FI,27822.5112185391
1994,FI,28800.7187932738
1995,FI,29900.8706211488
1996,FI,30895.8727257902
1997,FI,32755.2026464448
1998,FI,34451.1332280259
1999,FI,35876.5746131448
2000,FI,37869.1587968322
2001,FI,38769.1780036498
2002,FI,39335.5680217856
2003,FI,40028.2038752891
2004,FI,41505.4798830145
2005,FI,42513.5190015291
2006,FI,44056.3096712657
2007,FI,46194.059834448
2008,FI,46339.9805763347
2009,FI,42395.0448289162
2010,FI,43546.0561931006
2011,FI,44448.9385173329
2012,FI,43619.7030432553
2013,FI,43027.6896240408
2014,FI,42693.7481177945
2015,FI,42784.6983616432
2016,FI,43861.3239094556
2017,FI,45155.4660319403
2018,FI,45610.579263751
2019,FI,46172.567498465
2020,FI,44773.2011087213
1985,HU,0.0
1986,HU,0.0
1987,HU,0.0
1988,HU,0.0
1989,HU,0.0
1990,HU,0.0
1991,HU,7589.62401718339
1992,HU,7359.94411680525
1993,HU,7325.89221512275
1994,HU,7552.12809688164
1995,HU,7675.29708291145
1996,HU,7694.82861881223
1997,HU,7952.69229522674
1998,HU,8282.09548981008
1999,HU,8560.65577207662
2000,HU,8967.36775736045
2001,HU,9354.13848264141
2002,HU,9825.58339120006
2003,HU,10256.2469718517
2004,HU,10774.7238189035
2005,HU,11254.3226891148
2006,HU,11726.2313958403
2007,HU,11772.8539280771
2008,HU,11918.2951371101
2009,HU,11137.0614361778
2010,HU,11287.5216745821
2011,HU,11538.8233159954
2012,HU,11438.4357395496
2013,HU,11683.4048091862
2014,HU,12210.3380384335
2015,HU,12706.8912148924
2016,HU,13017.1765827828
2017,HU,13615.2491397176
2018,HU,14368.6390169359
2019,HU,15042.3362152734
2020,HU,14328.0734201885
1985,IS,0.0
1986,IS,0.0
1987,IS,0.0
1988,IS,0.0
1989,IS,0.0
1990,IS,0.0
1991,IS,0.0
1992,IS,0.0
1993,IS,0.0
1994,IS,0.0
1995,IS,34188.3821033381
1996,IS,35557.3100064002
1997,IS,37302.6717160195
1998,IS,39622.6069816837
1999,IS,40725.886035875
2000,IS,42174.6650584696
2001,IS,43288.0763046335
2002,IS,43143.4605797013
2003,IS,43763.7756121132
2004,IS,46766.0168708212
2005,IS,48850.7658634924
2006,IS,50731.6906881713
2007,IS,53646.3690202759
2008,IS,53821.4708222101
2009,IS,49527.3988280929
2010,IS,48193.7014041013
2011,IS,48933.5456614347
2012,IS,49191.574417162
2013,IS,50946.8162625339
2014,IS,51233.2440468041
2015,IS,52951.6815110898
2016,IS,55513.6423015865
2017,IS,56501.4576788793
2018,IS,57699.458929971
2019,IS,57818.8594639095
2020,IS,53193.5556582327
1985,IN,444.232664391237
1986,IN,455.228161692716
1987,IN,463.055750027797
1988,IN,496.856131062567
1989,IN,515.410609027119
1990,IN,532.754550012584
1991,IN,527.514516424971
1992,IN,545.399464560655
1993,IN,560.161940734035
1994,IN,585.964621108449
1995,IN,618.367769403957
1996,IN,652.566081499907
1997,IN,666.42015396886
1998,IN,694.735303105746
1999,IN,742.658951807987
2000,IN,757.668747182393
2001,IN,780.606234028164
2002,IN,796.724785581848
2003,IN,845.274844474013
2004,IN,897.628232696081
2005,IN,953.567972961049
2006,IN,1014.62764066211
2007,IN,1075.99408734051
2008,IN,1093.07655122533
2009,IN,1162.49880786282
2010,IN,1244.36601557133
2011,IN,1292.82120564033
2012,IN,1346.67591021698
2013,IN,1415.8287215662
2014,IN,1503.42150701876
2015,IN,1605.60544457045
2016,IN,1719.31807624158
2017,IN,1816.73087569339
2018,IN,1915.4352712462
2019,IN,1972.75782082313
2020,IN,1797.75977686427
1985,US,34986.3568660581
1986,US,35864.8243931488
1987,US,36775.2972648366
1988,US,37965.1311539107
1989,US,38989.4936735017
1990,US,39278.5953497875
1991,US,38715.2616876366
1992,US,39526.9708047124
1993,US,40082.6048153463
1994,US,41189.2383572889
1995,US,41794.19221265
1996,US,42869.2471695732
1997,US,44212.1670413743
1998,US,45658.1365976205
1999,US,47282.2846760321
2000,US,48689.0312898553
2001,US,48690.8079408159
2002,US,49081.3587876497
2003,US,50053.624104102
2004,US,51476.4887860738
2005,US,52796.089816261
2006,US,53782.2972881633
2007,US,54272.7195525927
2008,US,53688.3651351372
2009,US,51869.7063083713
2010,US,52759.9980807375
2011,US,53190.2311213989
2012,US,53989.2483396923
2013,US,54604.1300544798
2014,US,55574.3568248497
2015,US,56863.3714957652
2016,US,57418.9338464454
2017,US,58387.7758083572
2018,US,59821.5922735518
2019,US,60836.7714535018
2020,US,58510.2366222363
1985,CZ,0.0
1986,CZ,0.0
1987,CZ,0.0
1988,CZ,0.0
1989,CZ,0.0
1990,CZ,11626.6258716528
1991,CZ,10300.8991599512
1992,CZ,8444.01396032716
1993,CZ,8492.169818742304
1994,CZ,8834.48786082925
1995,CZ,9377.72701945774
1996,CZ,9864.762175854745
1997,CZ,10070.431029459316
1998,CZ,10222.011965233956
1999,CZ,10299.391048244099
2000,CZ,10610.116480345445
2001,CZ,10974.671834606916
2002,CZ,11296.629835645846
2003,CZ,11798.9922375225
2004,CZ,12389.600816667
2005,CZ,13197.75792105945
2006,CZ,14167.476663471101
2007,CZ,15231.52969283355
2008,CZ,15761.718356848149
2009,CZ,14914.5863338667
2010,CZ,15481.77101243945
2011,CZ,15805.947607668051
2012,CZ,15856.49904338015
2013,CZ,15892.112283202801
2014,CZ,16263.94141542085
2015,CZ,17070.34336568365
2016,CZ,17442.2029857282
2017,CZ,18123.72172971515
2018,CZ,18696.8121969053
2019,CZ,19165.2437293861
2020,CZ,18117.651576953
1985,CL,4331.15743340735
1986,CL,4494.91313714293
1987,CL,4710.70989188828
1988,CL,4976.11169941774
1989,CL,5381.50966694524
1990,CL,5470.47973590214
1991,CL,5800.99877021234
1992,CL,6343.227129334
1993,CL,6652.02168613904
1994,CL,6877.43443493504
1995,CL,7380.06128434545
1996,CL,7770.53911051439
1997,CL,8235.45760487712
1998,CL,8481.75213124461
1999,CL,8343.70429321156
2000,CL,8685.32179401306
2001,CL,8871.72409006235
2002,CL,9049.21047924293
2003,CL,9321.21853637315
2004,CL,9890.07504113288
2005,CL,10349.643006733
2006,CL,10887.863775643
2007,CL,11300.5487360819
2008,CL,11574.7286094718
2009,CL,11273.6175021664
2010,CL,11809.1416273211
2011,CL,12406.4135712743
2012,CL,12941.0299991428
2013,CL,13333.3468340614
2014,CL,13425.6832753987
2015,CL,13574.1692377497
2016,CL,13624.6785491662
2017,CL,13590.9913463306
2018,CL,13901.0183087866
2019,CL,13866.9558433589
2020,CL,12954.4053541785
1985,PL,0.0
1986,PL,0.0
1987,PL,0.0
1988,PL,0.0
1989,PL,0.0
1990,PL,5120.15339205335
1991,PL,4744.0888265591
1992,PL,4848.50934567916
1993,PL,5016.97966466567
1994,PL,5271.38345464552
1995,PL,5638.14538907653
1996,PL,5978.38970311714
1997,PL,6359.77545502422
1998,PL,6652.530456044
1999,PL,6962.77229498928
2000,PL,7356.7757404373
2001,PL,7451.41410164602
2002,PL,7606.64020126586
2003,PL,7878.06616575413
2004,PL,8275.45696940672
2005,PL,8569.42996870044
2006,PL,9100.59933056134
2007,PL,9748.53464613352
2008,PL,10156.5842389363
2009,PL,10437.1624976081
2010,PL,10858.5351374823
2011,PL,11369.0301936129
2012,PL,11519.6849726331
2013,PL,11656.4035651233
2014,PL,12059.2467745978
2015,PL,12578.4954734362
2016,PL,12979.2559450962
2017,PL,13604.5409995265
2018,PL,14332.9166415319
2019,PL,14987.4233971431
2020,PL,14588.1448670462
1985,LV,0.0
1986,LV,0.0
1987,LV,0.0
1988,LV,0.0
1989,LV,0.0
1990,LV,0.0
1991,LV,0.0
1992,LV,0.0
1993,LV,0.0
1994,LV,0.0
1995,LV,4918.82927054462
1996,LV,5102.36425675528
1997,LV,5610.2604413321
1998,LV,6022.51600674069
1999,LV,6238.16600499063
2000,LV,6655.84301363048
2001,LV,7168.66652394202
2002,LV,7766.11556904224
2003,LV,8502.92318454569
2004,LV,9327.01293889977
2005,LV,10439.5425535577
2006,LV,11798.5944734841
2007,LV,13088.037917186
2008,LV,12786.231554088
2009,LV,11145.4544170373
2010,LV,10878.3659819013
2011,LV,11794.8852289477
2012,LV,12449.8400626592
2013,LV,12874.6090288179
2014,LV,13135.96158803
2015,LV,13774.6052739114
2016,LV,14230.92810282
2017,LV,14824.3308796746
2018,LV,15541.5275665551
2019,LV,15967.1971299847
2020,LV,15487.9257810606
1985,KY,0.0
1986,KY,0.0
1987,KY,0.0
1988,KY,0.0
1989,KY,0.0
1990,KY,0.0
1991,KY,0.0
1992,KY,0.0
1993,KY,0.0
1994,KY,0.0
1995,KY,0.0
1996,KY,0.0
1997,KY,0.0
1998,KY,0.0
1999,KY,0.0
2000,KY,0.0
2001,KY,0.0
2002,KY,0.0
2003,KY,0.0
2004,KY,0.0
2005,KY,0.0
2006,KY,91341.2932661524
2007,KY,91434.5357287895
2008,KY,88476.1408845878
2009,KY,79899.964314402
2010,KY,75877.1683447801
2011,KY,75165.9874436168
2012,KY,74688.8868482508
2013,KY,74420.1199479745
2014,KY,75246.8259393011
2015,KY,76284.1939286359
2016,KY,77694.6128033728
2017,KY,79133.7992858959
2018,KY,81437.8900656244
2019,KY,83536.2933517156
2020,KY,0.0
1985,PH,1574.25285432315
1986,PH,1584.84034655472
1987,PH,1609.62369410467
1988,PH,1673.56519033158
1989,PH,1731.88249831851
1990,PH,1739.66476391556
1991,PH,1687.09281833617
1992,PH,1652.03514513871
1993,PH,1647.12933126777
1994,PH,1679.37931936034
1995,PH,1717.56457383698
1996,PH,1776.78382687933
1997,PH,1827.22565874842
1998,PH,1776.76083183091
1999,PH,1791.83165294712
