Country,Extemp Sample,Storm Sample,Flood Sample,Drought Sample
Argentina,Yes,Yes,Yes,Yes
Australia,Yes,Yes,Yes,Yes
Belgium,Yes,Yes,Yes,Yes
Bulgaria,Yes,Yes,Yes,Yes
Brazil,Yes,Yes,Yes,Yes
Canada,Yes,Yes,Yes,Yes
Switzerland,Yes,Yes,Yes,Yes
China,Yes,Yes,Yes,Yes
Germany,Yes,Yes,Yes,Yes
Denmark,Yes,Yes,Yes,Yes
Egypt,Yes,Yes,Yes,Yes
Spain,Yes,Yes,Yes,Yes
Finland,Yes,Yes,Yes,Yes
France,Yes,Yes,Yes,Yes
United Kingdom,Yes,Yes,Yes,Yes
Greece,Yes,Yes,Yes,Yes
Hungary,Yes,Yes,Yes,Yes
Ireland,Yes,Yes,Yes,Yes
Israel,Yes,Yes,Yes,Yes
India,Yes,Yes,Yes,Yes
Italy,Yes,Yes,Yes,Yes
Japan,Yes,Yes,Yes,Yes
Korea,Yes,Yes,Yes,Yes
Morocco,Yes,No,No,Yes
Mexico,Yes,Yes,Yes,Yes
Malaysia,Yes,Yes,Yes,Yes
Netherlands,Yes,Yes,Yes,Yes
Norway,Yes,Yes,Yes,Yes
New Zealand,Yes,Yes,Yes,Yes
Panama,Yes,Yes,Yes,Yes
Philippines,Yes,Yes,Yes,No
Poland,Yes,Yes,Yes,Yes
Russia,Yes,Yes,Yes,Yes
Sweden,Yes,Yes,Yes,Yes
Singapore,Yes,Yes,Yes,Yes
Slovenia,Yes,Yes,Yes,Yes
Thailand,Yes,Yes,Yes,No
Ukraine,Yes,Yes,Yes,Yes
United States,Yes,Yes,Yes,Yes
South Africa,Yes,Yes,Yes,Yes